s_het_bin,coeff,coeff_se
1,0,0
2,0.361334954634435,0.142700439983285
3,0.100697984780551,0.155528199077648
4,0.553069339054011,0.144364493000507
5,0.183279638619543,0.155622825654158
6,0.205340595277227,0.145543950175733
7,0.0774182222909797,0.148759540594952
8,0.105899440934399,0.149528102065714
9,0.813163832169991,0.135132890281822
10,0.221061976151734,0.150619939672987
11,0.144391738277014,0.161811973504544
12,0.0646945161478146,0.161672506700793
13,0.36448063392332,0.150717556721617
14,0.265414598577933,0.152335152885483
15,0.492899050010823,0.149344662977122
16,0.207678925483083,0.154201468520594
17,-0.127571141242271,0.168071074031872
18,0.754670518434924,0.143673390588863
19,0.29885859356626,0.150760518298905
20,0.345603429141908,0.157120314352203
21,0.618989635125676,0.140273578871842
22,0.24981554043771,0.155807867577255
23,0.5548275344255,0.150795485937527
24,0.527596213210642,0.147807890881356
25,0.248760895622166,0.158811736536461
26,0.043251171612882,0.159189876978114
27,0.808190164063918,0.139573315821297
28,0.407761660327504,0.152736717947048
29,0.431622650118064,0.148516034517718
30,0.474288703969817,0.153921918718028
31,0.172270639880449,0.160501137355843
32,0.185197607344832,0.160552852099268
33,0.432512275364171,0.152912746833007
34,0.132495709444152,0.165072007379379
35,0.728076558655572,0.148876275751355
36,0.232002151464471,0.158714785324249
37,0.485035430624356,0.147003391701581
38,0.312227426534844,0.153454294665965
39,0.299143477999254,0.159372482042241
40,-0.118492766259236,0.164607977044009
41,0.855706983050734,0.138100220521777
42,0.695997879206503,0.140411192982896
43,0.662535401438206,0.142399757360799
44,0.550252029021894,0.143582642168005
45,0.329205385592909,0.150536797440665
46,0.446013153979164,0.145991754281873
47,0.400921701937653,0.154345917158308
48,0.386616504229826,0.144754419845831
49,0.440045115558798,0.148373706548006
50,0.620922878800937,0.141942236666134
51,0.302344201323303,0.149065348415302
52,0.551635406810431,0.143125971641958
53,0.720525703195112,0.148247061222438
54,0.62589658167196,0.138698399853259
55,0.453022500702208,0.135742232919086
56,0.632703778805898,0.139196529918031
57,0.501119039635713,0.146712882408638
58,1.09502020236777,0.129060565032284
59,0.46140982911021,0.14611659809965
60,0.680202538056643,0.137937110403303
61,0.794140155657973,0.131197022596644
62,0.487318224775512,0.143182486483068
63,0.361965157286842,0.142405519349354
64,0.453258476134975,0.136462239104155
65,0.306627010653339,0.143359998696725
66,0.521721647222634,0.140376896773085
67,0.591852168140399,0.133086009295329
68,0.610553833915735,0.131157398684422
69,0.830990274296489,0.129640586303607
70,0.617245098016486,0.136205012992942
71,0.667052814925931,0.129921105681596
72,0.771767901738283,0.125207873282541
73,0.703010172354009,0.129095284071206
74,0.281459818960015,0.139171199376571
75,0.785904937991723,0.125739897847113
76,0.9294852925065,0.125590272681562
77,0.704517033527146,0.135083670757674
78,0.577689412256454,0.131045221094064
79,0.75921249750931,0.128060354264464
80,0.467509140374347,0.130378147041997
81,0.570533518570197,0.133514961358522
82,0.547067110492058,0.128999249652559
83,0.82149939256392,0.126183932173541
84,0.740279813693449,0.125198307881877
85,0.818686891752086,0.127890676427006
86,0.92554307183697,0.124274997045075
87,0.929356223017737,0.1266296441018
88,0.989486380177919,0.124492036793087
89,0.86730950377665,0.127298534585282
90,0.968308764859939,0.125540432619977
91,0.715151659695828,0.129230214588648
92,1.01515119979021,0.124885620626212
93,1.31870998261355,0.120812767998213
94,1.03346729173585,0.12705897525923
95,0.915885504233962,0.130781253245984
96,0.929776076448357,0.127396833656489
97,1.00049148371909,0.129927446088826
98,1.28765004231419,0.128297650992934
99,1.16578233354467,0.133028686903922
100,1.22346260653308,0.131195932136189
