hgnc_id,effect_allele_frequency
HGNC:14905,0.000499919
HGNC:406,0.000568512
HGNC:27006,6.16179e-05
HGNC:30313,0.000248797
HGNC:28957,0.000711512
HGNC:18477,5.11545e-05
HGNC:390,0.0015451
HGNC:389,8.95203e-05
HGNC:26001,0.000287163
HGNC:1491,4.18537e-05
HGNC:32068,4.41789e-05
HGNC:7650,0.000496431
HGNC:48338,0.000247634
HGNC:5301,4.30163e-05
HGNC:27393,0.0033169
HGNC:25978,0.00109052
HGNC:29038,0.000204618
HGNC:13414,0.000394122
HGNC:9031,0.000173228
HGNC:9038,4.06911e-05
HGNC:9033,0.000176715
HGNC:30040,0.00029065
HGNC:9032,2.09268e-05
HGNC:26354,0.00428302
HGNC:26538,0.00065687
HGNC:25762,5.11545e-05
HGNC:31791,6.62683e-05
HGNC:1712,4.53415e-05
HGNC:14581,0.000434813
HGNC:2728,0.000177878
HGNC:19167,0.000508057
HGNC:28819,0.000230195
HGNC:24973,6.04553e-05
HGNC:3298,0.000202293
HGNC:3146,9.99837e-05
HGNC:25076,0.00289371
HGNC:438,0.000851024
HGNC:9858,0.000825447
HGNC:18533,0.00017439
HGNC:32071,0.000210431
HGNC:5273,0.000817309
HGNC:15945,0.000373195
HGNC:15944,0.000363894
HGNC:1736,9.30081e-06
HGNC:12783,6.74309e-05
HGNC:29045,0.000478992
HGNC:3391,0.00031274
HGNC:1241,3.13902e-05
HGNC:1245,6.85935e-05
HGNC:1242,3.72032e-05
HGNC:3393,0.000297626
HGNC:35445,0.00091613
HGNC:44651,3.37154e-05
HGNC:29079,0.00013835
HGNC:14985,0.000224382
HGNC:5289,6.85935e-05
HGNC:5047,3.13902e-05
HGNC:20814,0.000104634
HGNC:11615,0.000233683
HGNC:14987,0.00033948
HGNC:3114,0.000125561
HGNC:5362,5.69675e-05
HGNC:11620,0.000219732
HGNC:25022,4.88293e-05
HGNC:6738,0.000256935
HGNC:4116,8.83577e-05
HGNC:5005,0.000226707
HGNC:4006,0.000229032
HGNC:2160,0.000338317
HGNC:23158,0.000102309
HGNC:16713,2.20894e-05
HGNC:26679,0.00382496
HGNC:13700,0.000104634
HGNC:18584,0.000159276
HGNC:25839,0.000511545
HGNC:28070,0.000287163
HGNC:25233,0.000219732
HGNC:3042,0.000173228
HGNC:29332,5.92927e-05
HGNC:16638,8.25447e-05
HGNC:13518,4.41789e-05
HGNC:10473,2.79024e-05
HGNC:19824,0.00011626
HGNC:25234,0.00049178
HGNC:10009,5.23171e-05
HGNC:30590,4.88293e-05
HGNC:10008,0.000125561
HGNC:25572,2.09268e-05
HGNC:18640,0.000129049
HGNC:19080,0.000109285
HGNC:15999,0.000465041
HGNC:28836,0.000649894
HGNC:28363,0.00665357
HGNC:23146,0.000260423
HGNC:6510,1.97642e-05
HGNC:8579,0.000429
HGNC:3515,0.00252168
HGNC:11013,8.71951e-05
HGNC:16007,0.000913805
HGNC:18981,4.18537e-05
HGNC:25860,3.72032e-05
HGNC:30943,0.000155789
HGNC:19700,0.00108238
HGNC:23220,0.00105332
HGNC:25309,0.000489455
HGNC:15568,0.00527356
HGNC:30600,0.00566536
HGNC:1804,2.55772e-05
HGNC:17295,0.000968447
HGNC:28495,0.000337154
HGNC:15986,1.97642e-05
HGNC:20603,4.30163e-05
HGNC:4986,6.85935e-05
HGNC:10430,6.27805e-05
HGNC:11110,0.000268561
HGNC:26031,0.000444114
HGNC:20712,0.00113237
HGNC:10773,1.39512e-05
HGNC:25513,0.000158114
HGNC:25720,0.000895203
HGNC:7961,0.000129049
HGNC:8045,4.18537e-05
HGNC:26624,8.37073e-05
HGNC:34348,3.37154e-05
HGNC:28273,8.83577e-05
HGNC:11071,0.000212756
HGNC:29175,3.02276e-05
HGNC:25363,0.000101146
HGNC:15584,0.000697561
HGNC:6858,0.0046132
HGNC:3625,0.00296231
