ensg,beta,standard_error,effect_allele_frequency
ENSG00000164253,0.0649556,0.0746784,0.000845157
ENSG00000171540,0.0416311,0.441274,2.41474e-05
ENSG00000171530,-0.214726,0.180196,0.000144884
ENSG00000132842,-0.0347349,0.142454,0.000231815
ENSG00000085365,-0.378467,0.201446,0.000115907
ENSG00000145685,0.109104,0.372929,3.38063e-05
ENSG00000113273,-0.199403,0.166812,0.000169031
ENSG00000132837,-0.0811529,0.0443291,0.00239542
ENSG00000132840,-0.0688729,0.0718496,0.00091277
ENSG00000145692,0.081649,0.139705,0.000241474
ENSG00000152409,-0.0523378,0.201433,0.000115907
ENSG00000164329,-0.0587977,0.0573639,0.00142469
ENSG00000164309,0.0447204,0.0358808,0.00366074
ENSG00000177034,0.0866232,0.142462,0.000231815
ENSG00000113296,-0.0116148,0.110403,0.000386358
ENSG00000164300,0.0259831,0.201444,0.000115907
ENSG00000164299,0.0396759,0.0425676,0.00259343
ENSG00000039319,0.0235511,0.0919051,0.000560219
ENSG00000152380,-0.0472738,0.0932941,0.000540901
ENSG00000189127,-0.120894,0.148826,0.000212497
ENSG00000228716,-0.141492,0.263714,6.76126e-05
ENSG00000113318,0.00291052,0.0793161,0.000748568
ENSG00000113319,0.118477,0.183253,0.000140055
ENSG00000131730,-0.0818816,0.0859433,0.00063749
ENSG00000131732,-0.321962,0.18327,0.000140055
ENSG00000172497,0.0035367,0.0691605,0.000985212
ENSG00000152348,-0.0935551,0.183394,0.000140055
ENSG00000186468,0.0186165,0.215335,0.000101419
ENSG00000205464,-0.320411,0.210384,0.000106248
ENSG00000152422,-0.0130621,0.089023,0.000594025
ENSG00000038427,0.121154,0.239343,8.2101e-05
ENSG00000164176,0.0748229,0.215362,0.000101419
ENSG00000145715,-0.0666535,0.171802,0.000159373
ENSG00000134480,0.291988,0.125358,0.000299427
ENSG00000164180,-0.0165407,0.0212164,0.0107987
ENSG00000081189,0.113211,0.174462,0.000154543
ENSG00000153140,-0.057133,0.133251,0.000265621
ENSG00000176055,-0.166256,0.273681,6.27831e-05
ENSG00000113356,-0.0479453,0.114749,0.000347722
ENSG00000176018,-0.0544834,0.186496,0.000135225
ENSG00000164199,-0.0339613,0.0563102,0.00148748
ENSG00000113391,0.175366,0.160117,0.00018352
ENSG00000248483,0.0979794,0.142461,0.000231815
ENSG00000185261,0.0443026,0.0524629,0.0017048
ENSG00000133302,-0.00410787,0.0916729,0.000560219
ENSG00000175471,-0.0262991,0.107707,0.000405676
ENSG00000153347,0.0100736,0.0261799,0.00691097
ENSG00000198677,0.0798842,0.0724245,0.000898282
ENSG00000164291,-0.11365,0.134326,0.000260791
ENSG00000178015,-0.0347919,0.0391992,0.00306188
ENSG00000175449,0.0178629,0.150522,0.000207667
ENSG00000145757,0.029424,0.180197,0.000144884
ENSG00000164292,0.119335,0.113977,0.00036221
ENSG00000173221,-0.0407927,0.27373,6.27831e-05
ENSG00000118985,-0.141161,0.348869,3.86358e-05
ENSG00000175426,-0.0301163,0.145553,0.000222156
ENSG00000153113,-0.0131577,0.0734319,0.000874134
ENSG00000164307,0.0368981,0.0312389,0.00485845
ENSG00000164308,-0.017245,0.0382502,0.00321643
ENSG00000113441,0.0407337,0.201429,0.000115907
ENSG00000145721,0.00909081,0.0869543,0.000623002
ENSG00000058729,-0.115836,0.125362,0.000299427
ENSG00000174136,0.192649,0.201474,0.000115907
ENSG00000279232,-0.186058,0.402844,2.89768e-05
ENSG00000153922,-0.137384,0.141001,0.000236644
ENSG00000174132,0.013226,0.189912,0.000130396
ENSG00000113532,-0.0221994,0.312036,4.82947e-05
ENSG00000173930,0.0474678,0.0817365,0.000705103
ENSG00000205359,-0.0232987,0.111772,0.000376699
ENSG00000145730,0.0257866,0.11249,0.000371869
ENSG00000145723,-0.151257,0.154135,0.000198008
ENSG00000145725,-0.0575013,0.0788133,0.000758227
ENSG00000112874,-0.291425,0.148815,0.000212497
ENSG00000184349,-0.159198,0.402828,2.89768e-05
ENSG00000145743,0.00140182,0.143967,0.000226985
ENSG00000151422,-0.291048,0.174457,0.000154543
ENSG00000198961,-0.271292,0.273863,6.27831e-05
ENSG00000112893,0.044878,0.129602,0.000280109
ENSG00000186952,0.029032,0.0246319,0.0078334
ENSG00000164209,-0.0465006,0.0565977,0.00146333
ENSG00000145777,0.20317,0.205793,0.000111078
ENSG00000134987,0.104558,0.193526,0.000125566
ENSG00000152495,0.23542,0.180175,0.000144884
ENSG00000164211,-0.0335658,0.0972754,0.000497436
ENSG00000134986,-0.0420124,0.0462619,0.00220707
ENSG00000129595,0.0956749,0.0705542,0.000946576
ENSG00000134982,-0.00816579,0.193577,0.000125566
ENSG00000153037,-0.353434,0.372934,3.38063e-05
ENSG00000129625,0.120871,0.156072,0.000193179
ENSG00000212643,0.145077,0.158386,0.000188349
ENSG00000172795,-0.119522,0.28484,5.79537e-05
ENSG00000171444,0.142261,0.120601,0.000323575
ENSG00000212122,-0.0552272,0.12358,0.000309086
ENSG00000047188,-0.06283,0.263794,6.76126e-05
ENSG00000080709,0.153621,0.226428,9.176e-05
ENSG00000152503,-0.000233037,0.166824,0.000169031
ENSG00000164219,0.410003,0.246708,7.72715e-05
ENSG00000164221,0.102917,0.14102,0.000236644
ENSG00000145780,-0.003859,0.254793,7.24421e-05
ENSG00000243414,-0.0959013,0.0801359,0.00073408
ENSG00000251201,-0.0991548,0.0809391,0.000719591
ENSG00000129596,-0.140784,0.273692,6.27831e-05
ENSG00000145782,0.00729899,0.0973052,0.000497436
ENSG00000177879,0.0211153,0.0441329,0.00242922
ENSG00000172901,-0.023066,0.0633777,0.00117356
ENSG00000268223,0.193713,0.193631,0.000125566
ENSG00000145781,-0.0466554,0.284844,5.79537e-05
ENSG00000092421,-0.303731,0.246695,7.72715e-05
ENSG00000169570,-0.0425671,0.158052,0.000188349
ENSG00000172869,-0.259816,0.148782,0.000212497
ENSG00000145779,0.0645467,0.44129,2.41474e-05
ENSG00000133835,0.100526,0.0865973,0.000627831
ENSG00000164334,-0.0569941,0.154218,0.000198008
ENSG00000184838,0.283394,0.232598,8.69305e-05
ENSG00000181867,-0.304727,0.215347,0.000101419
ENSG00000151304,-0.0222697,0.0828717,0.000685785
ENSG00000113083,-0.162408,0.40281,2.89768e-05
ENSG00000164185,-0.000215513,0.105237,0.000424993
ENSG00000250803,-0.271965,0.331394,4.34652e-05
ENSG00000064692,-0.059404,0.0433002,0.00252098
ENSG00000205302,0.171537,0.254796,7.24421e-05
ENSG00000064652,0.310507,0.127437,0.000289768
ENSG00000168938,-0.0154223,0.023306,0.00868822
ENSG00000061455,-0.161985,0.254776,7.24421e-05
ENSG00000168944,0.0571242,0.0785687,0.000763056
ENSG00000151292,0.127077,0.205768,0.000111078
ENSG00000168916,-0.341247,0.441282,2.41474e-05
ENSG00000155324,-0.00645778,0.0676847,0.00102868
ENSG00000164904,-0.0350004,0.032486,0.00446726
ENSG00000164902,0.0561642,0.166812,0.000169031
ENSG00000196900,0.277927,0.210405,0.000106248
ENSG00000113368,-0.36038,0.167024,0.000169031
ENSG00000173926,-0.718375,0.372962,3.38063e-05
ENSG00000164241,-0.263842,0.17726,0.000149714
ENSG00000145794,-0.108389,0.112513,0.000371869
ENSG00000164244,-0.0677227,0.0738172,0.000864475
ENSG00000205279,0.197991,0.372955,3.38063e-05
ENSG00000064651,0.0382605,0.189909,0.000130396
ENSG00000138829,0.00802919,0.147116,0.000217326
ENSG00000113396,-0.0608574,0.0371857,0.00339512
ENSG00000066583,0.134631,0.180172,0.000144884
ENSG00000145808,-0.0400353,0.142455,0.000231815
ENSG00000186367,0.321477,0.246713,7.72715e-05
ENSG00000198108,-0.15317,0.166813,0.000169031
ENSG00000169567,0.0484886,0.140651,0.000241474
ENSG00000186687,0.564927,0.402925,2.89768e-05
ENSG00000273217,-0.166718,0.166832,0.000169031
ENSG00000158987,-0.0407744,0.0644505,0.00113493
ENSG00000217128,-0.279568,0.284852,5.79537e-05
ENSG00000164398,-0.262536,0.117163,0.000342892
ENSG00000164399,-0.0142701,0.23261,8.69305e-05
ENSG00000072682,0.07589,0.10706,0.000410505
ENSG00000131435,-0.165981,0.328895,4.34652e-05
ENSG00000197208,-0.073154,0.162452,0.00017869
ENSG00000197375,-0.06981,0.100239,0.000468459
ENSG00000113525,-0.0835054,0.372949,3.38063e-05
ENSG00000113522,0.0371379,0.0595935,0.0013281
ENSG00000169194,0.380054,0.312672,4.82947e-05
ENSG00000113520,0.151686,0.312533,4.82947e-05
ENSG00000131437,-0.226004,0.273704,6.27831e-05
ENSG00000205089,0.0122506,0.0621391,0.00122186
ENSG00000164402,0.0266242,0.171813,0.000159373
ENSG00000198944,-0.141246,0.197385,0.000120737
ENSG00000164403,-0.110955,0.0766451,0.000801692
ENSG00000164404,-0.19449,0.0954659,0.000516753
ENSG00000164405,0.26964,0.37293,3.38063e-05
ENSG00000164406,-0.0713392,0.40288,2.89768e-05
ENSG00000072364,0.70806,0.372954,3.38063e-05
ENSG00000155329,-0.0422986,0.284849,5.79537e-05
ENSG00000170606,0.287394,0.183302,0.000140055
ENSG00000053108,0.0122775,0.156123,0.000193179
ENSG00000113583,0.146194,0.122425,0.000313916
ENSG00000081059,-0.0658674,0.0768842,0.000796863
ENSG00000113558,0.167955,0.44126,2.41474e-05
ENSG00000006837,-0.0760267,0.0783323,0.000767886
ENSG00000119048,-0.334797,0.215594,0.000101419
ENSG00000237190,-0.200574,0.263722,6.76126e-05
ENSG00000043143,0.0855005,0.107748,0.000405676
ENSG00000152700,-0.0796353,0.164483,0.000173861
ENSG00000113615,-0.131891,0.118825,0.000333234
ENSG00000164615,0.115289,0.16682,0.000169031
ENSG00000145833,0.00168333,0.441272,2.41474e-05
ENSG00000181904,-0.0974283,0.312045,4.82947e-05
ENSG00000113621,0.178961,0.0982434,0.000487777
ENSG00000132570,0.0156601,0.328949,4.34652e-05
ENSG00000152705,0.22242,0.142455,0.000231815
ENSG00000069011,0.00887478,0.27367,6.27831e-05
ENSG00000251380,-0.399855,0.201431,0.000115907
ENSG00000255833,0.275242,0.232593,8.69305e-05
ENSG00000181965,-0.247251,0.263728,6.76126e-05
ENSG00000145824,0.062876,0.402834,2.89768e-05
ENSG00000145832,-0.0234869,0.0894743,0.000579537
ENSG00000145839,0.0323604,0.226414,9.176e-05
ENSG00000145826,0.182651,0.273704,6.27831e-05
ENSG00000120708,0.0533055,0.164479,0.000173861
ENSG00000113658,-0.253836,0.297513,5.31242e-05
ENSG00000069018,-0.00597501,0.183249,0.000140055
ENSG00000152377,-0.0329282,0.28486,5.79537e-05
ENSG00000146021,0.0487485,0.254795,7.24421e-05
ENSG00000120729,0.00506675,0.152281,0.000202838
ENSG00000078795,0.0159587,0.0562267,0.00149231
ENSG00000031003,-0.266353,0.254847,7.24421e-05
ENSG00000061492,0.0456495,0.145524,0.000222156
ENSG00000112981,-0.20689,0.148787,0.000202838
ENSG00000112983,-0.0755586,0.0928786,0.00054573
ENSG00000112984,0.0712829,0.115575,0.000352551
ENSG00000094880,-0.0935139,0.125362,0.000299427
ENSG00000146013,0.161935,0.215334,0.000101419
ENSG00000158402,-0.0777146,0.125342,0.000299427
ENSG00000120709,-0.0809394,0.441293,2.41474e-05
ENSG00000132563,-0.0541856,0.139598,0.000241474
ENSG00000113013,-0.0307984,0.138221,0.000246303
ENSG00000044115,-0.462782,0.220657,9.65894e-05
ENSG00000146006,-0.0312194,0.402818,2.89768e-05
ENSG00000120725,0.0867082,0.177253,0.000149714
ENSG00000015479,0.205055,0.1104,0.000386358
ENSG00000120727,0.166478,0.372962,3.38063e-05
ENSG00000170482,-0.0523253,0.23933,8.2101e-05
ENSG00000170476,0.0679116,0.124394,0.000304257
ENSG00000228672,0.219931,0.0905356,0.000574707
ENSG00000170469,0.02847,0.107516,0.000540901
ENSG00000170464,0.296092,0.15803,0.000188349
ENSG00000249751,0.201818,0.197376,0.000120737
ENSG00000184584,0.0810394,0.246685,7.72715e-05
ENSG00000146005,-0.0326506,0.0785655,0.000763056
ENSG00000158458,-0.141783,0.201446,0.000115907
ENSG00000182700,-0.0324151,0.0364335,0.00357381
ENSG00000120306,-0.27296,0.246702,7.72715e-05
ENSG00000113068,0.0723383,0.226391,9.176e-05
ENSG00000113070,-0.29524,0.402855,2.89768e-05
ENSG00000113073,0.0864223,0.0773594,0.000787204
ENSG00000131503,0.0311291,0.102401,0.000449141
ENSG00000254996,-0.0402501,0.284847,5.79537e-05
ENSG00000243056,-0.0645868,0.0726207,0.000893452
ENSG00000213523,0.11049,0.132004,0.00027045
ENSG00000113108,0.0300408,0.106048,0.000883793
ENSG00000176087,0.263379,0.210394,0.000106248
ENSG00000170458,-0.230785,0.312051,4.82947e-05
ENSG00000113119,0.294082,0.148787,0.000212497
ENSG00000131495,-0.209821,0.402836,2.89768e-05
ENSG00000113141,-0.0663227,0.0555121,0.00153094
ENSG00000120314,-0.0497428,0.0746567,0.000845157
ENSG00000170445,0.0735901,0.166808,0.000169031
ENSG00000112855,-0.0878067,0.072434,0.000898282
ENSG00000204970,-0.020091,0.0629553,0.0020477
ENSG00000204969,-0.0490324,0.0688348,0.000985212
ENSG00000255408,0.0881848,0.113238,0.00036704
ENSG00000204967,-0.129659,0.134315,0.000260791
ENSG00000204965,-0.0563289,0.108351,0.000400846
ENSG00000081842,0.153366,0.0982338,0.000478118
ENSG00000204963,0.0943998,0.0912942,0.000565048
ENSG00000204962,0.0296077,0.0400397,0.00287354
ENSG00000204961,0.0448548,0.0681353,0.00143435
ENSG00000250120,0.141131,0.130723,0.000255962
ENSG00000249158,-0.167702,0.104638,0.000429823
ENSG00000251664,0.0242985,0.125403,0.000299427
ENSG00000239389,-0.121145,0.140998,0.000236644
ENSG00000248383,0.0499397,0.0623764,0.0012122
ENSG00000243232,0.224102,0.220693,9.65894e-05
ENSG00000171815,-0.170303,0.0909614,0.000569878
ENSG00000112852,0.0375803,0.0958864,0.000511924
ENSG00000113205,0.0557122,0.0757552,0.00082101
ENSG00000081818,0.0397233,0.0753063,0.000830669
ENSG00000113209,-0.0597476,0.131942,0.00027045
ENSG00000113211,0.120607,0.0711236,0.000932088
ENSG00000113212,0.0114159,0.0231603,0.00884276
ENSG00000120322,0.00843325,0.0866141,0.000627831
ENSG00000272674,-0.0815968,0.129621,0.000280109
ENSG00000177839,0.125239,0.097767,0.000492606
ENSG00000120324,-0.062975,0.0908852,0.000560219
ENSG00000197479,0.0156528,0.0340443,0.00406641
ENSG00000120328,-0.00453444,0.102958,0.000444311
ENSG00000187372,-0.0484432,0.0414504,0.0027528
ENSG00000279983,-0.13778,0.170163,0.000154543
ENSG00000120327,-0.187584,0.107587,0.000400846
ENSG00000113248,0.0387751,0.150513,0.000207667
ENSG00000120329,-0.0236185,0.0214057,0.0103785
ENSG00000178913,0.045684,0.441266,2.41474e-05
ENSG00000204956,-0.236834,0.107705,0.000405676
ENSG00000081853,0.0549276,0.100231,0.000468459
ENSG00000254245,0.00226855,0.0660663,0.0010818
ENSG00000254221,0.136766,0.0963586,0.000507094
ENSG00000262576,-0.0423275,0.129602,0.000280109
ENSG00000253910,0.0573037,0.117217,0.000342892
ENSG00000253485,0.14785,0.0798608,0.000738909
ENSG00000262209,-0.0104694,0.0612388,0.00126049
ENSG00000253731,-0.00143596,0.139818,0.000241474
ENSG00000253537,0.0917213,0.113266,0.000357381
ENSG00000253953,-0.0508143,0.13189,0.00027045
ENSG00000253767,-0.152312,0.0806396,0.000724421
ENSG00000276547,-0.0856386,0.0696827,0.000970724
ENSG00000261934,0.0745519,0.0474206,0.00210082
ENSG00000253305,0.0059627,0.0724207,0.000898282
ENSG00000253846,-0.0430669,0.0169696,0.0167389
ENSG00000254122,-0.0216309,0.118835,0.000333234
ENSG00000253873,-0.125941,0.0987268,0.000482947
ENSG00000253159,-0.0384354,0.0224198,0.00953821
ENSG00000240184,0.166104,0.135572,0.000255962
ENSG00000242419,0.319851,0.284856,5.79537e-05
ENSG00000240764,0.103651,0.107717,0.000405676
ENSG00000131504,0.0300372,0.0786629,0.000763056
ENSG00000171720,0.137639,0.254784,7.24421e-05
ENSG00000164620,0.0267121,0.246718,7.72715e-05
ENSG00000197948,0.0295465,0.03659,0.00354
ENSG00000120318,0.0181047,0.0497019,0.00191247
ENSG00000156453,0.0935005,0.180346,0.000144884
ENSG00000081791,-0.0200759,0.0372132,0.00341444
ENSG00000113555,0.0276434,0.0837562,0.000671297
ENSG00000013561,0.354762,0.158049,0.000188349
ENSG00000113552,0.0593892,0.154153,0.000198008
ENSG00000187678,-0.133014,0.197376,0.000120737
ENSG00000113578,-1.17181,0.348904,3.86358e-05
ENSG00000145819,-0.226746,0.174476,0.000154543
ENSG00000113580,-0.113906,0.210401,0.000106248
ENSG00000145817,0.13207,0.402869,2.89768e-05
ENSG00000183775,0.292027,0.220674,9.65894e-05
ENSG00000186314,-0.022526,0.139592,0.000241474
ENSG00000156463,-0.016585,0.0928918,0.00054573
ENSG00000173261,-0.118741,0.263729,6.76126e-05
ENSG00000133706,-0.0938656,0.0987258,0.000482947
ENSG00000091009,-0.0953922,0.162276,0.00017869
ENSG00000275740,-0.115775,0.160151,0.00018352
ENSG00000113649,0.0893357,0.174462,0.000154543
ENSG00000173250,-0.0176939,0.0215863,0.0102771
ENSG00000156475,0.0815184,0.239339,8.2101e-05
ENSG00000169302,-0.0377274,0.135565,0.000255962
ENSG00000113657,-0.0428378,0.07265,0.000893452
ENSG00000176049,-0.0187301,0.0465683,0.00217809
ENSG00000164266,-0.53977,0.226408,9.176e-05
ENSG00000164265,0.186834,0.312122,4.82947e-05
ENSG00000133710,0.028846,0.0621281,0.00122186
ENSG00000178172,0.108968,0.220672,9.65894e-05
ENSG00000214510,-0.157212,0.142497,0.000231815
ENSG00000145879,-0.012571,0.160112,0.00018352
ENSG00000204909,-0.104672,0.183261,0.000140055
ENSG00000145868,-0.0602053,0.226407,9.176e-05
ENSG00000164270,0.0723523,0.055561,0.00153094
ENSG00000169252,-0.0184233,0.402825,2.89768e-05
ENSG00000169247,-0.0142723,0.0517469,0.00176276
ENSG00000173210,-0.0349053,0.0499837,0.00189315
ENSG00000157510,-0.225268,0.125359,0.000299427
ENSG00000164284,0.0283686,0.164499,0.000173861
ENSG00000145882,0.143477,0.162265,0.00017869
ENSG00000127743,-0.134234,0.133106,0.000265621
ENSG00000113712,-0.0590288,0.0343726,0.00398431
ENSG00000183111,-0.00802351,0.0253972,0.00735046
ENSG00000155846,0.217494,0.284885,5.79537e-05
ENSG00000132915,0.141147,0.109692,0.000391187
ENSG00000155850,0.103487,0.102941,0.000444311
ENSG00000164296,0.0280606,0.102387,0.000449141
ENSG00000113716,0.138767,0.189923,0.000130396
ENSG00000182578,0.0928674,0.232648,8.69305e-05
ENSG00000113721,0.0503828,0.105233,0.000424993
ENSG00000113722,-0.0248994,0.312055,4.82947e-05
ENSG00000011083,0.0068517,0.116327,0.000347722
ENSG00000070808,-0.103411,0.402892,2.89768e-05
ENSG00000183876,0.0946371,0.126379,0.000294598
ENSG00000070814,-0.0730535,0.143957,0.000226985
ENSG00000019582,0.201789,0.297554,5.31242e-05
ENSG00000070614,0.0232025,0.246698,7.72715e-05
ENSG00000171992,-0.0350973,0.147125,0.000217326
ENSG00000164591,-0.0502261,0.0518988,0.0017531
ENSG00000086589,0.416153,0.273739,6.27831e-05
ENSG00000132912,-0.186572,0.160108,0.00018352
ENSG00000256235,0.0193718,0.186501,0.000135225
ENSG00000237693,-0.369783,0.215334,0.000101419
ENSG00000145908,-0.172303,0.14553,0.000222156
ENSG00000211445,-0.180803,0.106457,0.000415335
ENSG00000145901,0.0805568,0.15804,0.000188349
ENSG00000197043,0.222794,0.147132,0.000217326
ENSG00000198624,0.128777,0.114743,0.000357381
ENSG00000196743,-0.188896,0.226385,9.176e-05
ENSG00000186334,0.00151392,0.160096,0.00018352
ENSG00000186335,0.0429513,0.0886696,0.000598854
ENSG00000123643,-0.0381054,0.0403388,0.00288802
ENSG00000086570,0.0154195,0.075313,0.000830669
ENSG00000113140,0.0345839,0.328907,4.34652e-05
ENSG00000177556,-0.081776,0.273677,6.27831e-05
ENSG00000145907,-0.505133,0.205768,0.000111078
ENSG00000145888,-0.0830649,0.180183,0.000144884
ENSG00000132911,0.0592385,0.147149,0.000217326
ENSG00000155511,0.0676719,0.116371,0.000347722
ENSG00000055147,-0.00988435,0.11325,0.00036704
ENSG00000037749,0.342475,0.254784,7.24421e-05
ENSG00000164574,0.0354786,0.164485,0.000173861
ENSG00000164576,0.116098,0.373076,3.38063e-05
ENSG00000155506,-0.177621,0.19355,0.000125566
ENSG00000170271,-0.139596,0.0474707,0.00208633
ENSG00000155508,0.367485,0.34886,3.86358e-05
ENSG00000082516,0.0789384,0.0945667,0.000526412
ENSG00000082515,-0.0655715,0.134317,0.000260791
ENSG00000226650,0.0670238,0.0803631,0.00072925
ENSG00000170624,-0.150298,0.154128,0.000198008
ENSG00000145850,0.0712534,0.108374,0.000400846
ENSG00000113249,-0.0885564,0.0620469,0.00122669
ENSG00000135077,0.0518919,0.177322,0.000149714
ENSG00000155868,0.386015,0.348885,3.86358e-05
ENSG00000170613,0.0201098,0.19737,0.000120737
ENSG00000113263,0.18549,0.183267,0.000140055
ENSG00000055163,-0.215058,0.239333,8.2101e-05
ENSG00000172568,-0.0902112,0.154123,0.000198008
ENSG00000172548,-0.521074,0.23933,8.2101e-05
ENSG00000135074,-0.0478074,0.105228,0.000424993
ENSG00000039600,0.0295635,0.174457,0.000154543
ENSG00000187658,0.051493,0.0445957,0.00236644
ENSG00000113272,0.043847,0.164493,0.000173861
ENSG00000155858,0.417352,0.273719,6.27831e-05
ENSG00000113282,0.553637,0.254783,7.24421e-05
ENSG00000164330,0.220872,0.402831,2.89768e-05
ENSG00000145860,-0.0209187,0.0379944,0.00327921
ENSG00000164332,0.774297,0.328934,4.34652e-05
ENSG00000113302,-0.07453,0.246736,7.72715e-05
ENSG00000170214,-0.401571,0.246702,7.72715e-05
ENSG00000113312,-0.290304,0.183248,0.000140055
ENSG00000170234,-0.437498,0.312046,4.82947e-05
ENSG00000170231,0.116788,0.116324,0.000347722
ENSG00000135083,0.142178,0.171786,0.000159373
ENSG00000145861,-0.164065,0.186511,0.000135225
ENSG00000221886,0.239968,0.108359,0.000400846
ENSG00000164609,0.0609838,0.142452,0.000231815
ENSG00000164611,-0.158984,0.273857,6.27831e-05
ENSG00000118322,-0.0406427,0.0421162,0.00266587
ENSG00000145864,0.0677767,0.220691,9.65894e-05
ENSG00000145863,0.0226591,0.0459151,0.00224087
ENSG00000113327,0.644582,0.273757,6.27831e-05
ENSG00000113328,-0.0637571,0.210396,0.000106248
ENSG00000170584,0.117324,0.17184,0.000159373
ENSG00000072571,0.0265191,0.0549468,0.00161304
ENSG00000038274,0.296937,0.441256,2.41474e-05
ENSG00000145934,0.044948,0.112521,0.000371869
ENSG00000113645,-0.0795527,0.201439,0.000115907
ENSG00000113643,-0.0855988,0.13189,0.00027045
ENSG00000120137,0.164467,0.328903,4.34652e-05
ENSG00000184347,-0.00925048,0.171789,0.000159373
ENSG00000040275,-0.0190472,0.0621224,0.00122186
ENSG00000134516,-0.00681709,0.131894,0.00027045
ENSG00000204767,0.0554893,0.28487,5.79537e-05
ENSG00000168269,-0.340489,0.328903,4.34652e-05
ENSG00000234511,0.121458,0.21536,0.000101419
ENSG00000043462,-0.0376253,0.141006,0.000236644
ENSG00000182132,-0.268831,0.297575,5.31242e-05
ENSG00000145936,-0.0618472,0.180176,0.000144884
ENSG00000094755,0.0418312,0.183277,0.000140055
ENSG00000204764,0.00315724,0.0627332,0.00119771
ENSG00000181163,-0.0237463,0.273746,6.27831e-05
ENSG00000072803,-0.382515,0.372941,3.38063e-05
ENSG00000072786,-0.0361496,0.108351,0.000400846
ENSG00000214360,0.108718,0.169249,0.000164202
ENSG00000174705,-0.259664,0.119892,0.000328404
ENSG00000214357,-0.457218,0.328922,4.34652e-05
ENSG00000120129,0.336915,0.403094,2.89768e-05
ENSG00000113719,0.11712,0.348858,3.86358e-05
ENSG00000037241,-0.0149897,0.169241,0.000164202
ENSG00000113732,0.580635,0.312028,4.82947e-05
ENSG00000164463,-0.237971,0.372965,3.38063e-05
ENSG00000113734,0.114697,0.10298,0.000444311
ENSG00000183072,0.637129,0.373042,3.38063e-05
ENSG00000113739,-0.265443,0.372963,3.38063e-05
ENSG00000145919,-0.0387341,0.0817158,0.000705103
ENSG00000113742,-0.0650706,0.091335,0.000565048
ENSG00000185056,0.0379027,0.0800979,0.00073408
ENSG00000170091,-0.124741,0.226454,9.176e-05
ENSG00000120149,-0.926664,0.441803,2.41474e-05
ENSG00000164466,0.272254,0.190007,0.000130396
ENSG00000113749,0.541144,0.166832,0.000169031
ENSG00000051596,0.137029,0.13557,0.000255962
ENSG00000182230,-0.0320342,0.0666188,0.00106248
ENSG00000170085,-0.0712553,0.0703706,0.000951406
ENSG00000122203,-0.232408,0.18649,0.000135225
ENSG00000175414,0.699355,0.205756,0.000111078
ENSG00000048162,-0.17762,0.180173,0.000144884
ENSG00000113194,-0.104402,0.402937,2.89768e-05
ENSG00000146083,0.0361059,0.107068,0.000410505
ENSG00000074276,-0.0646609,0.0598115,0.00131845
ENSG00000169258,-0.39687,0.205773,0.000111078
ENSG00000074317,-0.130361,0.27368,6.27831e-05
ENSG00000175766,0.152067,0.193546,0.000125566
ENSG00000048140,0.0470441,0.140991,0.000236644
ENSG00000113763,0.816813,0.312056,4.82947e-05
ENSG00000160883,-0.000910961,0.0691643,0.000985212
ENSG00000087206,0.162212,0.150517,0.000207667
ENSG00000113761,-0.0645479,0.193555,0.000125566
ENSG00000160867,0.0205842,0.0705566,0.000946576
ENSG00000165671,0.212334,0.263758,6.76126e-05
ENSG00000169228,-0.917596,0.348926,3.86358e-05
ENSG00000169230,0.252697,0.239339,8.2101e-05
ENSG00000213347,0.244321,0.147159,0.000217326
ENSG00000169223,0.0833063,0.193559,0.000125566
ENSG00000169220,0.0881374,0.174457,0.000154543
ENSG00000131183,-0.0910606,0.0886751,0.000598854
ENSG00000196570,-0.110433,0.312035,4.82947e-05
ENSG00000131187,-0.0080265,0.0402156,0.00807971
ENSG00000198055,0.325481,0.141006,0.000236644
ENSG00000113758,0.139965,0.169245,0.000164202
ENSG00000196923,-0.229806,0.197363,0.000120737
ENSG00000146094,-0.0163853,0.0631359,0.00118322
ENSG00000183258,-0.0599137,0.0707361,0.000941747
ENSG00000146067,0.300807,0.226403,9.176e-05
ENSG00000184840,-0.3683,0.328905,4.34652e-05
ENSG00000027847,0.0510702,0.0670581,0.001048
ENSG00000170074,0.25619,0.210413,0.000106248
ENSG00000175325,0.0151021,0.133177,0.000265621
ENSG00000145911,-0.451814,0.263754,6.76126e-05
ENSG00000145916,0.112604,0.0689825,0.000990042
ENSG00000145912,0.248168,0.183276,0.000140055
ENSG00000197451,-0.193924,0.2849,5.79537e-05
ENSG00000175309,0.0225494,0.0696676,0.000970724
ENSG00000050767,-0.00384529,0.0297247,0.0053414
ENSG00000113240,0.244762,0.141001,0.000236644
ENSG00000169131,0.0862685,0.158027,0.000188349
ENSG00000178338,0.0924616,0.154174,0.000198008
ENSG00000198939,0.108897,0.0997319,0.000473288
ENSG00000178187,-0.272536,0.197379,0.000120737
ENSG00000113262,-0.0892034,0.0709087,0.000936917
ENSG00000234284,0.0222219,0.124362,0.000304257
ENSG00000177932,-0.0703078,0.066613,0.00106248
ENSG00000087116,0.00579299,0.15617,0.000193179
ENSG00000176783,-0.162352,0.0916745,0.000560219
ENSG00000169045,-0.709601,0.402984,2.89768e-05
ENSG00000204659,-0.00475804,0.087273,0.000618172
ENSG00000127022,-0.385949,0.27368,6.27831e-05
