ensg,beta,standard_error,effect_allele_frequency
ENSG00000241563,-0.0225085,0.226605,9.176e-05
ENSG00000160049,-0.176835,0.126635,0.000294598
ENSG00000142655,-0.0965509,0.329197,4.34652e-05
ENSG00000130940,-0.0506496,0.127539,0.000289768
ENSG00000175262,-0.0336098,0.0585825,0.0013764
ENSG00000120948,0.229246,0.312358,4.82947e-05
ENSG00000009724,-0.0115905,0.0778949,0.000777545
ENSG00000116649,0.217725,0.31231,4.82947e-05
ENSG00000171824,-0.13026,0.126495,0.000294598
ENSG00000198793,0.128442,0.136986,0.000251133
ENSG00000171819,0.0796742,0.10084,0.000463629
ENSG00000120942,-0.0374105,0.349167,3.86358e-05
ENSG00000204624,-0.0498099,0.0894759,0.000589196
ENSG00000116661,0.0439705,0.148917,0.000212497
ENSG00000132879,-0.0860033,0.136988,0.000251133
ENSG00000116663,0.116318,0.171966,0.000159373
ENSG00000116670,-0.31503,0.21065,0.000106248
ENSG00000162490,-0.187503,0.0909892,0.000560219
ENSG00000177674,0.183853,0.126578,0.000294598
ENSG00000215910,-0.00885978,0.0429333,0.00256928
ENSG00000177000,0.0669188,0.150636,0.000207667
ENSG00000011021,0.271891,0.174609,0.000154543
ENSG00000175206,-0.0182785,0.10845,0.000400846
ENSG00000120937,-0.09874,0.150641,0.000207667
ENSG00000116685,0.0191833,0.177404,0.000149714
ENSG00000083444,-0.00841592,0.0690596,0.000990042
ENSG00000116688,-0.281783,0.215529,0.000101419
ENSG00000116691,0.0776299,0.11269,0.000371869
ENSG00000120949,-0.0638085,0.263951,6.76126e-05
ENSG00000028137,-0.0816244,0.285117,5.79537e-05
ENSG00000048707,0.0572535,0.105442,0.000424993
ENSG00000204518,-0.271733,0.215643,0.000101419
ENSG00000188984,0.138148,0.150656,0.000207667
ENSG00000157330,-0.0427707,0.164799,0.000173861
ENSG00000116726,-0.115676,0.142593,0.000231815
ENSG00000116721,0.0396757,0.0909614,0.000540901
ENSG00000239810,0.0357882,0.0295307,0.00535588
ENSG00000179172,0.477671,0.264201,6.76126e-05
ENSG00000120952,-0.218947,0.169408,0.000164202
ENSG00000243073,0.101709,0.147268,0.000198008
ENSG00000187545,0.048043,0.122571,0.000313916
ENSG00000204510,-0.10371,0.197589,0.000120737
ENSG00000232423,0.0132499,0.164692,0.000173861
ENSG00000274764,-0.0289003,0.160326,0.000173861
ENSG00000275774,0.0272683,0.0583165,0.00135225
ENSG00000204505,-0.142322,0.373286,3.38063e-05
ENSG00000270601,-0.0577983,0.221599,9.65894e-05
ENSG00000182330,-0.0503228,0.102467,0.000439482
ENSG00000204501,0.0151321,0.0234669,0.00869788
ENSG00000204481,-0.066437,0.104159,0.000434652
ENSG00000204480,-0.0104874,0.160266,0.00018352
ENSG00000204479,0.0304711,0.0581952,0.00139572
ENSG00000204478,0.167102,0.105342,0.000424993
ENSG00000162494,0.0155617,0.0663613,0.00107214
ENSG00000162493,0.120434,0.116458,0.000347722
ENSG00000116731,0.0657372,0.110467,0.000386358
ENSG00000189337,-0.0465884,0.14116,0.000236644
ENSG00000171729,-0.251172,0.297778,5.31242e-05
ENSG00000142621,-0.0620039,0.02819,0.00600303
ENSG00000142634,0.131587,0.263959,6.76126e-05
ENSG00000162438,0.171467,0.220846,9.65894e-05
ENSG00000142615,-0.0256844,0.148929,0.000212497
ENSG00000215704,0.0521682,0.16241,0.00017869
ENSG00000132906,0.0281559,0.132008,0.00027045
ENSG00000116138,-0.143524,0.109111,0.000396017
ENSG00000116771,0.0707928,0.0692113,0.000985212
ENSG00000215695,0.0358936,0.125503,0.000299427
ENSG00000116786,0.093369,0.150646,0.000207667
ENSG00000162461,0.186378,0.0891123,0.000594025
ENSG00000162460,-0.126008,0.193725,0.000125566
ENSG00000162458,0.128871,0.104734,0.000429823
ENSG00000233954,-0.134913,0.329261,4.34652e-05
ENSG00000065526,0.0329517,0.0589265,0.00136191
ENSG00000116809,-0.126698,0.174619,0.000154543
ENSG00000183888,0.116784,0.190077,0.000130396
ENSG00000173641,-0.0634465,0.23279,8.69305e-05
ENSG00000186510,0.00354805,0.058797,0.00136674
ENSG00000184908,0.0585817,0.0472945,0.00211531
ENSG00000185519,0.12038,0.166975,0.000169031
